time_utc,time_scada,lead_hours,prediction,level1,residual_pred,wind_fc,temp_fc,run_day,turbine_id,issue_time_utc,issue_time_scada,model_version
2026-02-26 18:00:00,2026-02-27 00:00:00,1,0.8941852436978859,0.6899776965155463,0.20420754718233958,8.52,0.4,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-26 19:00:00,2026-02-27 01:00:00,2,0.7391983777831564,0.8058725860309637,-0.06667420824780723,9.23,-0.2,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-26 20:00:00,2026-02-27 02:00:00,3,0.7654595350281348,0.6292418976986458,0.136217637329489,7.98,-0.8,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-26 21:00:00,2026-02-27 03:00:00,4,0.7369028056411701,0.6650961242093006,0.07180668143186941,8.17,-0.9,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-26 22:00:00,2026-02-27 04:00:00,5,0.6350224521498425,0.6127099773473588,0.022312474802483773,7.89,-1.0,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-26 23:00:00,2026-02-27 05:00:00,6,0.3339429364661784,0.48031452534770414,-0.14637158888152574,7.08,-1.2,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 00:00:00,2026-02-27 06:00:00,7,0.2804470410388743,0.2340876966129895,0.046359344425884796,5.52,-0.4,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 01:00:00,2026-02-27 07:00:00,8,0.2799263177792943,0.22743936083530183,0.05248695694399244,5.46,-0.3,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 02:00:00,2026-02-27 08:00:00,9,0.22268457516201987,0.2285350983704092,-0.00585052320838933,5.47,-0.3,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 03:00:00,2026-02-27 09:00:00,10,0.18271184939207857,0.19920947375271247,-0.0164976243606339,5.2,0.4,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 04:00:00,2026-02-27 10:00:00,11,0.15060125307516695,0.13357183091047878,0.01702942216468817,4.56,1.3,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 05:00:00,2026-02-27 11:00:00,12,0.09980950226262979,0.1387554588262476,-0.03894595656361781,4.61,1.5,1.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 06:00:00,2026-02-27 12:00:00,13,0.2088350411429522,0.1018294925966153,0.1070055485463369,4.23,0.6,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 07:00:00,2026-02-27 13:00:00,14,0.2774630245466128,0.20380437628929207,0.07365864825732074,5.25,1.0,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 08:00:00,2026-02-27 14:00:00,15,0.3218122281598654,0.26303622027808726,0.058776007881778114,5.79,0.7,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
2026-02-27 09:00:00,2026-02-27 15:00:00,16,0.4641706362935143,0.30600716150831664,0.15816347478519766,6.12,0.4,2.0,2,2026-02-26 17:00:00,2026-02-26 23:00:00,t2-direct-ace106db
